23:8:33 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:8:49 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:10:2 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:10:4 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:10:5 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:10:7 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:10:49 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:14:20 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:14:22 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:14:24 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:14:25 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:15:18 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:17:27 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:17:28 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:17:30 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:17:31 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:18:27 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:19:48 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:19:49 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:19:52 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:19:53 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:20:36 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:26:36 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:26:39 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:26:41 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:26:43 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:27:42 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
