t = 4.39, x = -1.7766, v = 4.5015
t = 4.40, x = -1.7315, v = 4.5189
t = 4.41, x = -1.6862, v = 4.5357
t = 4.42, x = -1.6408, v = 4.5520
t = 4.43, x = -1.5952, v = 4.5678
t = 4.44, x = -1.5494, v = 4.5831
t = 4.45, x = -1.5035, v = 4.5978
t = 4.46, x = -1.4574, v = 4.6120
t = 4.47, x = -1.4113, v = 4.6257
t = 4.48, x = -1.3649, v = 4.6388
t = 4.49, x = -1.3185, v = 4.6514
t = 4.50, x = -1.2719, v = 4.6636
t = 4.51, x = -1.2252, v = 4.6751
t = 4.52, x = -1.1784, v = 4.6862
t = 4.53, x = -1.1315, v = 4.6967
t = 4.54, x = -1.0845, v = 4.7068
t = 4.55, x = -1.0373, v = 4.7163
t = 4.56, x = -0.9901, v = 4.7253
t = 4.57, x = -0.9428, v = 4.7338
t = 4.58, x = -0.8955, v = 4.7417
t = 4.59, x = -0.8480, v = 4.7492
t = 4.60, x = -0.8005, v = 4.7561
t = 4.61, x = -0.7529, v = 4.7626
t = 4.62, x = -0.7052, v = 4.7685
t = 4.63, x = -0.6575, v = 4.7739
t = 4.64, x = -0.6098, v = 4.7789
t = 4.65, x = -0.5619, v = 4.7833
t = 4.66, x = -0.5141, v = 4.7872
t = 4.67, x = -0.4662, v = 4.7907
t = 4.68, x = -0.4183, v = 4.7936
t = 4.69, x = -0.3703, v = 4.7960
t = 4.70, x = -0.3224, v = 4.7980
t = 4.71, x = -0.2744, v = 4.7995
t = 4.72, x = -0.2264, v = 4.8005
t = 4.73, x = -0.1784, v = 4.8010
t = 4.74, x = -0.1303, v = 4.8010
t = 4.75, x = -0.0823, v = 4.8005
t = 4.76, x = -0.0343, v = 4.7996
t = 4.77, x = 0.0137, v = 4.7982
t = 4.78, x = 0.0616, v = 4.7963
t = 4.79, x = 0.1096, v = 4.7939
t = 4.80, x = 0.1575, v = 4.7911
t = 4.81, x = 0.2054, v = 4.7878
t = 4.82, x = 0.2533, v = 4.7841
t = 4.83, x = 0.3011, v = 4.7799
t = 4.84, x = 0.3489, v = 4.7752
t = 4.85, x = 0.3966, v = 4.7701
t = 4.86, x = 0.4443, v = 4.7645
t = 4.87, x = 0.4919, v = 4.7585
t = 4.88, x = 0.5394, v = 4.7520
t = 4.89, x = 0.5869, v = 4.7451
t = 4.90, x = 0.6343, v = 4.7378
t = 4.91, x = 0.6817, v = 4.7300
t = 4.92, x = 0.7289, v = 4.7218
t = 4.93, x = 0.7761, v = 4.7131
t = 4.94, x = 0.8232, v = 4.7040
t = 4.95, x = 0.8702, v = 4.6945
t = 4.96, x = 0.9171, v = 4.6846
t = 4.97, x = 0.9639, v = 4.6742
t = 4.98, x = 1.0106, v = 4.6635
t = 4.99, x = 1.0572, v = 4.6523
t = 5.00, x = 1.1036, v = 4.6407
t = 5.01, x = 1.1500, v = 4.6287
t = 5.02, x = 1.1962, v = 4.6163
t = 5.03, x = 1.2423, v = 4.6034
t = 5.04, x = 1.2883, v = 4.5902
t = 5.05, x = 1.3341, v = 4.5766
t = 5.06, x = 1.3798, v = 4.5626
t = 5.07, x = 1.4253, v = 4.5482
t = 5.08, x = 1.4708, v = 4.5334
t = 5.09, x = 1.5160, v = 4.5182
t = 5.10, x = 1.5611, v = 4.5027
t = 5.11, x = 1.6061, v = 4.4867
t = 5.12, x = 1.6509, v = 4.4704
t = 5.13, x = 1.6955, v = 4.4537
